"prodcodeid"	"dmdid"	"termfromemis"	"productname"	"formulation"	"routeofadministration"	"drugsubstancename"	"substancestrength"	"bnfchapter"
"13942441000033110"	"40150111000001106"	"cosentyx 75mg/0.5ml solution for injection pre-filled syringes (novartis pharmaceuticals uk ltd)"	"cosentyx 75mg/0.5ml solution for injection pre-filled syringes"	"Solution for injection"	"Subcutaneous"	"secukinumab"	"150.000mg/1.000ml"	NA
"13948741000033118"	"40038811000001106"	"bimekizumab 160mg/1ml solution for injection pre-filled disposable devices"	"bimekizumab 160mg/1ml solution for injection pre-filled disposable devices"	"Solution for injection"	"Subcutaneous"	"bimekizumab"	"160.000mg/1.000ml"	NA
"13948841000033111"	"40039011000001105"	"bimekizumab 160mg/1ml solution for injection pre-filled syringes"	"bimekizumab 160mg/1ml solution for injection pre-filled syringes"	"Solution for injection"	"Subcutaneous"	"bimekizumab"	"160.000mg/1.000ml"	NA
"13948941000033115"	"40030811000001108"	"bimzelx 160mg/1ml solution for injection pre-filled syringes (ucb pharma ltd)"	"bimzelx 160mg/1ml solution for injection pre-filled syringes"	"Solution for injection"	"Subcutaneous"	"bimekizumab"	"160.000mg/1.000ml"	NA
"13949041000033112"	"40031511000001103"	"bimzelx 160mg/1ml solution for injection pre-filled pens (ucb pharma ltd)"	"bimzelx 160mg/1ml solution for injection pre-filled pens"	"Solution for injection"	"Subcutaneous"	"bimekizumab"	"160.000mg/1.000ml"	NA
"13958641000033112"	"40163611000001104"	"abrocitinib 50mg tablets"	"abrocitinib 50mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"abrocitinib"	"50.000mg"	"13050300"
"13958741000033115"	"40163011000001106"	"abrocitinib 100mg tablets"	"abrocitinib 100mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"abrocitinib"	"100.000mg"	"13050300"
"13958841000033113"	"40163111000001107"	"abrocitinib 200mg tablets"	"abrocitinib 200mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"abrocitinib"	"200.000mg"	"13050300"
"13974041000033112"	"40418611000001106"	"tofacitinib 1mg/ml oral solution sugar free"	"tofacitinib 1mg/ml oral solution sugar free"	"Oral solution"	"Oral"	"tofacitinib citrate"	"1.000mg/1.000ml"	NA
"14017041000033117"	"40573711000001109"	"nivolumab 120mg/12ml solution for infusion vials"	"nivolumab 120mg/12ml solution for infusion vials"	"Solution for infusion"	"Intravenous"	"nivolumab"	"10.000mg/1.000ml"	NA
"14031241000033114"	"40686011000001102"	"dasatinib 15.8mg tablets"	"dasatinib 15.8mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"dasatinib anhydrous"	"15.800mg"	"08010500"
"14108241000033115"	"41089711000001107"	"upadacitinib 45mg modified-release tablets"	"upadacitinib 45mg modified-release tablets"	"Modified-release tablet"	"Oral"	"upadacitinib hemihydrate"	"45.000mg"	"10010300"
"14108341000033113"	"41085811000001102"	"rinvoq 45mg modified-release tablets (abbvie ltd)"	"rinvoq 45mg modified-release tablets"	"Modified-release tablet"	"Oral"	"upadacitinib hemihydrate"	"45.000mg"	NA
"14122341000033115"	"41213311000001101"	"imatinib 600mg tablets"	"imatinib 600mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"imatinib mesilate"	"600.000mg"	"08010500"
"14131741000033111"	"41329811000001106"	"trastuzumab 60mg powder for solution for infusion vials"	"trastuzumab 60mg powder for solution for infusion vials"	"Powder for solution for infusion"	"Intravenous"	"trastuzumab"	"60.000mg"	"08010500"
"14143441000033119"	"39583711000001100"	"yuflyma 40mg/0.4ml solution for injection pre-filled pens (celltrion healthcare uk ltd)"	"yuflyma 40mg/0.4ml solution for injection pre-filled pens"	"Solution for injection"	"Subcutaneous"	"adalimumab"	"100.000mg/1.000ml"	NA
"14143641000033117"	"39583911000001103"	"yuflyma 40mg/0.4ml solution for injection pre-filled syringes (celltrion healthcare uk ltd)"	"yuflyma 40mg/0.4ml solution for injection pre-filled syringes"	"Solution for injection"	"Subcutaneous"	"adalimumab"	"100.000mg/1.000ml"	NA
"14239741000033110"	"42251811000001100"	"risankizumab 360mg/2.4ml solution for injection cartridges"	"risankizumab 360mg/2.4ml solution for injection cartridges"	"Solution for injection"	"Subcutaneous"	"risankizumab"	"150.000mg/1.000ml"	"01050300"
