"prodcodeid"	"dmdid"	"termfromemis"	"productname"	"formulation"	"routeofadministration"	"drugsubstancename"	"substancestrength"	"bnfchapter"
"9702441000033111"	"26658011000001100"	"azapress 50mg tablets (ennogen pharma ltd)"	"azapress 50mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"azathioprine"	"50.000mg"	NA
"9852141000033113"	"8307811000001104"	"azathioprine 75mg/5ml oral suspension"	"azathioprine 75mg/5ml oral suspension"	"Oral suspension"	"Oral"	"azathioprine"	"15.000mg/1.000ml"	"08020100"
"9956441000033114"	"28338911000001102"	"vanquoral 100mg capsules (teva uk ltd)"	"vanquoral 100mg capsules"	"Capsule/ Oral capsule"	"Oral"	"ciclosporin"	"100.000mg"	NA
"9956541000033110"	"28337411000001106"	"vanquoral 50mg capsules (teva uk ltd)"	"vanquoral 50mg capsules"	"Capsule/ Oral capsule"	"Oral"	"ciclosporin"	"50.000mg"	NA
"9956641000033111"	"28335911000001108"	"vanquoral 25mg capsules (teva uk ltd)"	"vanquoral 25mg capsules"	"Capsule/ Oral capsule"	"Oral"	"ciclosporin"	"25.000mg"	NA
"10387841000033114"	"29821511000001103"	"copaxone 40mg/1ml solution for injection pre-filled syringes (teva uk ltd)"	"copaxone 40mg/1ml solution for injection pre-filled syringes"	"Solution for injection"	"Subcutaneous"	"glatiramer acetate"	"40.000mg/1.000ml"	NA
"10615741000033116"	"29934611000001109"	"vanquoral 10mg capsules (teva uk ltd)"	"vanquoral 10mg capsules"	"Capsule/ Oral capsule"	"Oral"	"ciclosporin"	"10.000mg"	NA
"10645841000033119"	"30799911000001104"	"methotrexate 2mg/ml oral solution sugar free"	"methotrexate 2mg/ml oral solution sugar free"	"Oral solution"	"Oral"	"methotrexate sodium"	"2.000mg/1.000ml"	"10010300"
"10801841000033117"	"28415311000001105"	"mercaptopurine 75mg tablets"	"mercaptopurine 75mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"mercaptopurine"	"75.000mg"	"08010300"
"11032541000033114"	"9469511000001100"	"methotrexate 7.5mg/0.3ml solution for injection pre-filled syringes"	"methotrexate 7.5mg/0.3ml solution for injection pre-filled syringes"	"Solution for injection"	"Subcutaneous/ Intramuscular"	"methotrexate sodium"	"25.000mg/1.000ml"	"08010300"
"11032641000033110"	"9468211000001108"	"methotrexate 10mg/0.4ml solution for injection pre-filled syringes"	"methotrexate 10mg/0.4ml solution for injection pre-filled syringes"	"Solution for injection"	"Subcutaneous/ Intramuscular"	"methotrexate sodium"	"25.000mg/1.000ml"	"08010300"
"11032741000033118"	"9468711000001101"	"methotrexate 22.5mg/0.9ml solution for injection pre-filled syringes"	"methotrexate 22.5mg/0.9ml solution for injection pre-filled syringes"	"Solution for injection"	"Subcutaneous/ Intramuscular"	"methotrexate sodium"	"25.000mg/1.000ml"	"08010300"
"11032841000033111"	"31408511000001100"	"zlatal 7.5mg/0.3ml solution for injection pre-filled syringes (nordic pharma ltd)"	"zlatal 7.5mg/0.3ml solution for injection pre-filled syringes"	"Solution for injection"	"Subcutaneous/ Intramuscular"	"methotrexate sodium"	"25.000mg/1.000ml"	NA
"11032941000033115"	"31407911000001106"	"zlatal 10mg/0.4ml solution for injection pre-filled syringes (nordic pharma ltd)"	"zlatal 10mg/0.4ml solution for injection pre-filled syringes"	"Solution for injection"	"Subcutaneous/ Intramuscular"	"methotrexate sodium"	"25.000mg/1.000ml"	NA
"11033041000033113"	"31409011000001103"	"zlatal 12.5mg/0.5ml solution for injection pre-filled syringes (nordic pharma ltd)"	"zlatal 12.5mg/0.5ml solution for injection pre-filled syringes"	"Solution for injection"	"Subcutaneous/ Intramuscular"	"methotrexate sodium"	"25.000mg/1.000ml"	NA
"11033141000033112"	"31409611000001105"	"zlatal 15mg/0.6ml solution for injection pre-filled syringes (nordic pharma ltd)"	"zlatal 15mg/0.6ml solution for injection pre-filled syringes"	"Solution for injection"	"Subcutaneous/ Intramuscular"	"methotrexate sodium"	"25.000mg/1.000ml"	NA
"11033241000033117"	"31410211000001104"	"zlatal 17.5mg/0.7ml solution for injection pre-filled syringes (nordic pharma ltd)"	"zlatal 17.5mg/0.7ml solution for injection pre-filled syringes"	"Solution for injection"	"Subcutaneous/ Intramuscular"	"methotrexate sodium"	"25.000mg/1.000ml"	NA
"11033341000033110"	"31406711000001106"	"zlatal 20mg/0.8ml solution for injection pre-filled syringes (nordic pharma ltd)"	"zlatal 20mg/0.8ml solution for injection pre-filled syringes"	"Solution for injection"	"Subcutaneous/ Intramuscular"	"methotrexate sodium"	"25.000mg/1.000ml"	NA
"11033441000033116"	"31407211000001102"	"zlatal 22.5mg/0.9ml solution for injection pre-filled syringes (nordic pharma ltd)"	"zlatal 22.5mg/0.9ml solution for injection pre-filled syringes"	"Solution for injection"	"Subcutaneous/ Intramuscular"	"methotrexate sodium"	"25.000mg/1.000ml"	NA
"11033541000033115"	"31407411000001103"	"zlatal 25mg/1ml solution for injection pre-filled syringes (nordic pharma ltd)"	"zlatal 25mg/1ml solution for injection pre-filled syringes"	"Solution for injection"	"Subcutaneous/ Intramuscular"	"methotrexate sodium"	"25.000mg/1.000ml"	NA
"11786241000033117"	"33596211000001104"	"penicillamine 250mg/5ml oral suspension"	"penicillamine 250mg/5ml oral suspension"	"Oral suspension"	"Oral"	"penicillamine"	"50.000mg/1.000ml"	"10010300"
