"prodcodeid"	"dmdid"	"termfromemis"	"productname"	"formulation"	"routeofadministration"	"drugsubstancename"	"substancestrength"	"equivalent prednisolone dose"
"14043541000033113"	"40754711000001107"	"budesonide 500microgram orodispersible tablets sugar free"	"budesonide 500microgram orodispersible tablets sugar free"	"Orodispersible tablet"	"Oral"	"budesonide"	"500.000microgram"	"0.075"
"6512041000033112"	"19743911000001108"	"budesonide 9mg gastro-resistant granules sachets"	"budesonide 9mg gastro-resistant granules sachets"	"Gastro-resistant granules"	"Oral"	"budesonide"	"9.000mg"	"0.075"
"10262941000033112"	"29094911000001100"	"budesonide 9mg modified-release tablets"	"budesonide 9mg modified-release tablets"	"Modified-release tablet"	"Oral"	"budesonide"	"9.000mg"	"0.075"
"1581141000033115"	"3850711000001101"	"calcort 1mg tablets (shire pharmaceuticals ltd)"	"calcort 1mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"deflazacort"	"1.000mg"	"1.2"
"1581041000033119"	"3960211000001106"	"calcort 30mg tablets (shire pharmaceuticals ltd)"	"calcort 30mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"deflazacort"	"30.000mg"	"1.2"
"210841000033110"	"3756411000001107"	"calcort 6mg tablets (neon healthcare ltd)"	"calcort 6mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"deflazacort"	"6.000mg"	"1.2"
"4214141000033116"	"11835611000001107"	"clipper 5mg gastro-resistant modified-release tablets (chiesi ltd)"	"clipper 5mg gastro-resistant modified-release tablets"	"Modified-release tablet"	"Oral"	"beclometasone dipropionate"	"5.000mg"	"?"
"336441000033112"	"3083211000001105"	"corlan 2.5mg pellets (auden mckenzie (pharma division) ltd)"	"corlan 2.5mg pellets"	"Muco-adhesive buccal tablet"	"Oromucosal"	"hydrocortisone sodium succinate"	"2.500mg"	"4"
"351841000033115"	NA	"cortef  oral suspension  10 mg/5 ml"	NA	NA	NA	NA	NA	"4"
"375641000033116"	NA	"cortelan  tablets  25 mg"	NA	NA	NA	NA	NA	"1"
"10263141000033115"	"29094211000001109"	"cortiment 9mg modified-release tablets (ferring pharmaceuticals ltd)"	"cortiment 9mg modified-release tablets"	"Modified-release tablet"	"Oral"	"budesonide"	"9.000mg"	"0.075"
"372041000033119"	NA	"cortisone  tablets  5 mg"	NA	NA	NA	NA	NA	NA
"371941000033113"	"42081611000001100"	"cortisone 25mg tablets"	"cortisone 25mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"cortisone acetate"	"25.000mg"	"5"
"369541000033110"	NA	"cortisone acetate  tablets  5 mg"	NA	NA	NA	NA	NA	"5"
"372141000033115"	NA	"cortistab  tablets  25 mg"	NA	NA	NA	NA	NA	"5"
"372241000033110"	NA	"cortistab  tablets  5 mg"	NA	NA	NA	NA	NA	"5"
"372341000033117"	NA	"cortisyl  tablets  25 mg"	NA	NA	NA	NA	NA	"5"
"422741000033110"	NA	"decadron  injection  4 mg/ml"	NA	NA	NA	NA	NA	"0.15"
"430841000033118"	"3286911000001103"	"decadron 500microgram tablets (organon pharma (uk) ltd)"	"decadron 500microgram tablets"	"Tablet/ Oral Tablet"	"Oral"	"dexamethasone"	"500.000microgram"	"0.15"
"421541000033112"	NA	"decadron shock-pak  injection  20 mg/ml"	NA	NA	NA	NA	NA	"0.15"
"429141000033119"	NA	"decortisyl  tablets  5 mg"	NA	NA	NA	NA	NA	"1"
"1601441000033119"	"42035011000001102"	"deflazacort 1mg tablets"	"deflazacort 1mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"deflazacort"	"1.000mg"	"1.2"
"1601341000033113"	"42035111000001101"	"deflazacort 30mg tablets"	"deflazacort 30mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"deflazacort"	"30.000mg"	"1.2"
"428941000033110"	"42035211000001107"	"deflazacort 6mg tablets"	"deflazacort 6mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"deflazacort"	"6.000mg"	"1.2"
"431541000033114"	"459611000001100"	"deltacortril 2.5mg gastro-resistant tablets (phoenix labs ltd)"	"deltacortril 2.5mg gastro-resistant tablets"	"Gastro-resistant tablet"	"Oral"	"prednisolone"	"2.500mg"	"1"
"431641000033110"	"331111000001100"	"deltacortril 5mg gastro-resistant tablets (phoenix labs ltd)"	"deltacortril 5mg gastro-resistant tablets"	"Gastro-resistant tablet"	"Oral"	"prednisolone"	"5.000mg"	"1"
"429441000033110"	NA	"deltastab  tablets  1 mg"	NA	NA	NA	NA	NA	"1"
"429541000033111"	NA	"deltastab  tablets  5 mg"	NA	NA	NA	NA	NA	"1"
"422841000033117"	"355311000001102"	"deltastab 25mg/1ml suspension for injection ampoules (advanz pharma)"	"deltastab 25mg/1ml suspension for injection ampoules"	"Suspension for injection"	"Intraarticular/ Intramuscular/ Periarticular"	"prednisolone acetate"	"25.000mg/1.000ml"	"1"
"422241000033116"	NA	"dexamethasone  injection  20 mg/ml"	NA	NA	NA	NA	NA	"0.15"
"423441000033112"	NA	"dexamethasone  injection  4 mg"	NA	NA	NA	NA	NA	"0.15"
"2760741000033113"	NA	"dexamethasone  injection  5 mg/ml, 1 ml ampoule"	NA	NA	NA	NA	NA	"0.15"
"2760841000033115"	NA	"dexamethasone  injection  5 mg/ml, 2 ml vial"	NA	NA	NA	NA	NA	"0.15"
"5989241000033115"	NA	"dexamethasone  solution for injection  3.3 mg/ml, 1 ml ampoule"	NA	NA	NA	NA	NA	"0.15"
"9872041000033112"	NA	"dexamethasone  solution for injection  3.8 mg/1 ml vial"	NA	NA	NA	NA	NA	"0.15"
"9870741000033114"	NA	"dexamethasone  solution for injection  6.6 mg/2 ml ampoule"	NA	NA	NA	NA	NA	"0.15"
"6062941000033110"	NA	"dexamethasone  solution for injection  6.6 mg/2 ml vial"	NA	NA	NA	NA	NA	"0.15"
"429841000033113"	NA	"dexamethasone  tablets  250 micrograms"	NA	NA	NA	NA	NA	"0.15"
"12568641000033117"	"4052611000001105"	"dexamethasone (base) 3.3mg/1ml solution for injection ampoules"	"dexamethasone (base) 3.3mg/1ml solution for injection ampoules"	"Solution for injection"	"Intraarticular/ Subcutaneous/ Intravenous/ Intramuscular/ Intrabursal/ Intralesional/ Subconjunctival"	"dexamethasone sodium phosphate"	"3.300mg/1.000ml"	"0.15"
"12568741000033114"	"27957911000001102"	"dexamethasone (base) 3.8mg/1ml solution for injection vials"	"dexamethasone (base) 3.8mg/1ml solution for injection vials"	"Solution for injection"	"Intraarticular/ Subcutaneous/ Rectal/ Intravenous/ Intramuscular/ Intrabursal"	"dexamethasone sodium phosphate"	"3.800mg/1.000ml"	"0.15"
"12568841000033116"	"22153811000001101"	"dexamethasone (base) 6.6mg/2ml solution for injection ampoules"	"dexamethasone (base) 6.6mg/2ml solution for injection ampoules"	"Solution for injection"	"Intraarticular/ Subcutaneous/ Intravenous/ Intramuscular/ Intrabursal/ Intralesional/ Subconjunctival/ Infiltration"	"dexamethasone sodium phosphate"	"3.300mg/1.000ml"	"0.15"
"12568941000033112"	"4052511000001106"	"dexamethasone (base) 6.6mg/2ml solution for injection vials"	"dexamethasone (base) 6.6mg/2ml solution for injection vials"	"Solution for injection"	"Intraarticular/ Intravenous/ Intramuscular/ Intrabursal"	"dexamethasone sodium phosphate"	"3.300mg/1.000ml"	"0.15"
"13948241000033112"	"40306711000001107"	"dexamethasone 10mg soluble tablets sugar free"	"dexamethasone 10mg soluble tablets sugar free"	"Soluble tablet/"	"Oral"	"dexamethasone sodium phosphate"	"10.000mg"	"0.15"
"9122441000033114"	"24350911000001102"	"dexamethasone 10mg/5ml oral solution sugar free"	"dexamethasone 10mg/5ml oral solution sugar free"	"Oral solution"	"Oral"	"dexamethasone sodium phosphate"	"2.000mg/1.000ml"	"0.15"
"13948341000033119"	"40306811000001104"	"dexamethasone 20mg soluble tablets sugar free"	"dexamethasone 20mg soluble tablets sugar free"	"Soluble tablet/"	"Oral"	"dexamethasone sodium phosphate"	"20.000mg"	"0.15"
"10213841000033110"	"28881311000001104"	"dexamethasone 20mg/5ml oral solution sugar free"	"dexamethasone 20mg/5ml oral solution sugar free"	"Oral solution"	"Oral"	"dexamethasone sodium phosphate"	"4.000mg/1.000ml"	"0.15"
"11072141000033115"	"32071811000001109"	"dexamethasone 2mg soluble tablets sugar free"	"dexamethasone 2mg soluble tablets sugar free"	"Soluble tablet/"	"Oral"	"dexamethasone sodium phosphate"	"2.000mg"	"0.15"
"431841000033111"	"42082011000001104"	"dexamethasone 2mg tablets"	"dexamethasone 2mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"dexamethasone"	"2.000mg"	"0.15"
"2146541000033118"	"37084211000001103"	"dexamethasone 2mg/5ml oral solution sugar free"	"dexamethasone 2mg/5ml oral solution sugar free"	"Oral solution"	"Oral"	"dexamethasone sodium phosphate"	"400.000microgram/1.000ml"	"0.15"
"12398241000033119"	"34796811000001100"	"dexamethasone 40mg tablets"	"dexamethasone 40mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"dexamethasone"	"40.000mg"	"0.15"
"11072241000033110"	"32071911000001104"	"dexamethasone 4mg soluble tablets sugar free"	"dexamethasone 4mg soluble tablets sugar free"	"Soluble tablet/"	"Oral"	"dexamethasone sodium phosphate"	"4.000mg"	"0.15"
"5506241000033117"	"42082111000001103"	"dexamethasone 4mg tablets"	"dexamethasone 4mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"dexamethasone"	"4.000mg"	"0.15"
"3345541000033113"	"4052711000001101"	"dexamethasone 4mg/1ml solution for injection ampoules"	"dexamethasone 4mg/1ml solution for injection ampoules"	"Solution for injection"	"Intraarticular/ Subcutaneous/ Rectal/ Intravenous/ Intramuscular/ Intrabursal"	"dexamethasone sodium phosphate"	"4.000mg/1.000ml"	"0.15"
"431941000033115"	"42082211000001109"	"dexamethasone 500microgram tablets"	"dexamethasone 500microgram tablets"	"Tablet/ Oral Tablet"	"Oral"	"dexamethasone"	"500.000microgram"	"0.15"
"5900841000033112"	"42082311000001101"	"dexamethasone 500micrograms/5ml oral solution"	"dexamethasone 500micrograms/5ml oral solution"	"Oral solution"	"Oral"	"dexamethasone"	"100.000microgram/1.000ml"	"0.15"
"5900941000033116"	"8452311000001108"	"dexamethasone 500micrograms/5ml oral suspension"	"dexamethasone 500micrograms/5ml oral suspension"	"Oral suspension"	"Oral"	"dexamethasone"	"100.000microgram/1.000ml"	"0.15"
