medcodeid	snomedctconceptid	term	given	given_lag	neutral	declined	adv_reac	remove
11994221000006111	35726911000001109	Influenza Tetra MYL vaccine suspension for injection 0.5ml pre-filled syringes (Mylan) 1 pre-filled disposable injection	1					
11994251000006119	35727211000001103	Influvac sub-unit Tetra vaccine suspension for injection 0.5ml pre-filled syringes (Mylan) 1 pre-filled disposable injection	1					
11994291000006113	35727611000001101	Influenza MYL vaccine suspension for injection 0.5ml pre-filled syringes (Mylan) 1 pre-filled disposable injection	1					
12709581000006115	37547211000001103	"Adjuvanted trivalent influenza vaccine (surface antigen, inactivated) suspension for injection 0.5ml pre-filled syringes (Seqirus Vaccines Ltd)"	1					
13002211000006112	1239861000000100	Seasonal influenza vaccination given in school		1				
13978511000006110	1181000221105	Influenza vaccine			1			
14029601000006113	39121211000001109	Flublok Quadrivalent vaccine (recombinant) solution for injection 0.5ml pre-filled syringes (Imported (United States))	1					
14127291000006119	38973211000001108	Fluad Tetra vaccine suspension for injection 0.5ml pre-filled syringes (Seqirus UK Ltd)	1					
14315511000006117	40085011000001101	"Cell-based quadrivalent influenza vaccine (surface antigen, inactivated) suspension for injection 0.5ml pre-filled syringes (Seqirus UK Ltd)"	1					
14315541000006118	40085311000001103	"Adjuvanted quadrivalent influenza vaccine (surface antigen, inactivated) suspension for injection 0.5ml pre-filled syringes (Seqirus UK Ltd)"	1					
14375671000006117	3255011000001100	Influvac Sub-unit vaccine suspension for injection 0.5ml pre-filled syringes (Viatris UK Healthcare Ltd)	1					
14390151000006119	35726911000001109	Influenza Tetra MYL vaccine suspension for injection 0.5ml pre-filled syringes (Viatris UK Healthcare Ltd) 1 pre-filled disposable injection	1					
14390181000006110	35727211000001103	Influvac sub-unit Tetra vaccine suspension for injection 0.5ml pre-filled syringes (Viatris UK Healthcare Ltd) 1 pre-filled disposable injection	1					
14390221000006118	35727611000001101	Influenza MYL vaccine suspension for injection 0.5ml pre-filled syringes (Viatris UK Healthcare Ltd) 1 pre-filled disposable injection	1					
8105051000006117	325631000000101	Annual influenza vaccination			1			
4739501000006112	185900003	Has influenza vaccination at home						1
4739521000006119	185901004	Has influenza vaccination at surgery						1
5979751000006117	308532005	Influenza vaccination status						1
8041111000006115	130651000119102	Influenza vaccination declined by caregiver				1		
8603831000006118	3244411000001106	"Influenza vaccine (split virion, inactivated) suspension for injection 0.5ml pre-filled syringes (sanofi pasteur MSD Ltd)"	1					
8305111000006112	873681000000101	Provision of information about seasonal influenza vaccination						1
7507761000006112	698353005	Requires influenza virus vaccination						1
