"medcodeid"	"originalreadcode"	"cleansedreadcode"	"term"	"snomedctconceptid"	"snomedctdescriptionid"
"2787801000006118"	"^ESCTPA278780"	NA	"paranoid character"	"18117002"	"478491014"
"2790111000006113"	"^ESCTPO279011"	NA	"postnatal psychosis"	"18260003"	"1222079014"
"2957311000006113"	"^ESCTSE295731"	NA	"severe recurrent major depression with psychotic features"	"28475009"	"47670016"
"2960491000006119"	"^ESCTSE296049"	NA	"severe manic bipolar i disorder with psychotic features"	"28663008"	"47985013"
"2960501000006110"	"^ESCTSE296050"	NA	"severe bipolar i disorder, most recent episode manic, with psychotic features"	"28663008"	"47986014"
"2976051000006113"	"^ESCTCH297605"	NA	"chronic undifferentiated schizophrenia"	"29599000"	"49520019"
"3005591000006114"	"^ESCTDI300559"	NA	"disorganised schizophrenia in remission"	"31373002"	"484855012"
"3006671000006118"	"^ESCTBI300667"	NA	"bipolar i disorder, most recent episode hypomanic"	"31446002"	"52560014"
"3036131000006117"	"^ESCTSO303613"	NA	"somatic delusion disorder"	"33323008"	"55599014"
"3036141000006110"	"^ESCTSO303614"	NA	"somatic delusion"	"33323008"	"55600012"
"3068121000006112"	"^ESCTDI306812"	NA	"disorganised schizophrenia"	"35252006"	"486103011"
"3096951000006117"	"^ESCTPS309695"	NA	"psychosomatic disorder"	"37057007"	"61821018"
"3116711000006110"	"^ESCTIN311671"	NA	"involutional paraphrenia"	"38295006"	"64093013"
"3118041000006112"	"^ESCTSC311804"	NA	"schizoaffective disorder, bipolar type"	"38368003"	"63443014"
"3137261000006111"	"^ESCTUN313726"	NA	"undifferentiated schizophrenia in remission"	"39610001"	"66427013"
"3140411000006112"	"^ESCTRE314041"	NA	"recurrent major depressive disorder with catatonic features"	"39809009"	"67125015"
"3224371000006115"	"^ESCTCA322437"	NA	"capgras' syndrome"	"44906001"	"74918018"
"3224381000006117"	"^ESCTDE322438"	NA	"delusional misidentification syndrome"	"44906001"	"1230157015"
"3224391000006119"	"^ESCTCA322439"	NA	"capgras syndrome"	"44906001"	"1230158013"
"3245481000006112"	"^ESCTCA324548"	NA	"catatonic stupor"	"46153004"	"76954017"
"3267191000006117"	"^ESCTGR326719"	NA	"grandiose delusion disorder"	"47447001"	"79107016"
"3328681000006114"	"^ESCTRE332868"	NA	"residual schizophrenia in remission"	"51133006"	"85192018"
"3468391000006115"	"^ESCTSE346839"	NA	"severe bipolar i disorder, most recent episode depressed with psychotic features"	"59617007"	"99036013"
"3504721000006117"	"^ESCTIN350472"	NA	"induced psychotic disorder"	"61831009"	"102769017"
"3504751000006114"	"^ESCTIN350475"	NA	"induced psychosis"	"61831009"	"499132013"
"3504791000006115"	"^ESCTIN350479"	NA	"induced paranoid disorder"	"61831009"	"499136011"
"3527411000006119"	"^ESCTPA352741"	NA	"paranoid schizophrenia, in remission"	"63181006"	"2951791019"
"3549101000006116"	"^ESCTDE354910"	NA	"delusional perception"	"64514005"	"107230017"
"3595611000006115"	"^ESCTDE359561"	NA	"delusional conclusion"	"67348001"	"111919014"
"3627341000006115"	"^ESCTPS362734"	NA	"psychosis"	"69322001"	"115146013"
"3656651000006111"	"^ESCTCH365665"	NA	"chronic residual schizophrenia"	"71103003"	"118080013"
"3700911000006115"	"^ESCTPS370091"	NA	"psychotic depression"	"73867007"	"122673015"
"3760411000006111"	"^ESCTJE376041"	NA	"jealous delusion disorder"	"77475008"	"128611016"
"3788101000006118"	"^ESCTCH378810"	NA	"chronic undifferentiated schizophrenia with acute exacerbations"	"79204003"	"131428011"
