"diagnosis"	"term"	"medcodeid"	"originalreadcode"	"cleansedreadcode"	"snomedctconceptid"	"snomedctdescriptionid"
"anxiety"	"obsessional compulsive psychosis"	"853201000006116"	"EGTON118"	NA	"853201000006100"	"853201000006116"
"anxiety"	"phobic anxiety"	"853241000006119"	"EGTON122"	NA	"853241000006103"	"853241000006119"
"depression"	"post natal depression"	"853871000006111"	"EGTON306"	NA	"853871000006107"	"853871000006111"
"anxiety"	"phobic state"	"882371000006118"	"E202-99"	"E202.99"	"386810004"	"882371000006118"
"anxiety"	"other phobias"	"882391000006117"	"E202z-99"	"E202z99"	"563201000000101"	"882391000006117"
"anxiety"	"reactive (neurotic) depression"	"882401000006115"	"E204-99"	"E204.99"	"87414006"	"882401000006115"
"anxiety"	"nervous debility -neurasthenia"	"882411000006117"	"E205-99"	"E205.99"	"52702003"	"882411000006117"
"depression"	"depressive personality"	"882421000006113"	"E2112-99"	"E211299"	"78667006"	"882421000006113"
"depression"	"depression nos"	"882681000006110"	"E2B-99"	"E2B..99"	"609311000000100"	"882681000006110"
"depression"	"moderate depression"	"882821000006110"	"Eu321-99"	"Eu32199"	"465441000000108"	"882821000006110"
"depression"	"moderate depression"	"6000711000006112"	"^ESCTMO600071"	NA	"310496002"	"454083016"
"anxiety"	"[rfc] high parental anxiety"	"908651000006112"	"HNG0523"	NA	"908651000006108"	"908651000006112"
"depression"	"[rfc] postnatal depression"	"908731000006114"	"HNG0531"	NA	"908731000006105"	"908731000006114"
"depression"	"[rfc] depression"	"909681000006110"	"HNGNQRF13"	NA	"909681000006106"	"909681000006110"
"anxiety"	"[rfc] anxiety management"	"909691000006113"	"HNGNQRF14"	NA	"909691000006109"	"909691000006113"
"anxiety"	"needle phobia"	"932131000006118"	"Eu402-99"	"Eu40299"	"54587008"	"932131000006118"
"anxiety"	"needle phobia"	"980191000006111"	"Eu403"	"Eu40300"	"231501003"	"346974017"
"anxiety"	"needle phobia"	"991621000006112"	"E202z-98"	"E202z98"	"563201000000101"	"991621000006112"
"depression"	"sadness/hopelessness/decreased self-esteem"	"959741000006117"	"EMISCSA2"	NA	"959741000006101"	"959741000006117"
"anxiety"	"apprehension/undefined fear"	"959751000006115"	"EMISCAP1"	NA	"959751000006104"	"959751000006115"
"depression"	"loss of interest/involvement in activities/self-care"	"959761000006118"	"EMISCLO3"	NA	"959761000006102"	"959761000006118"
"anxiety"	"fearful/hypervigilant behaviour"	"960061000006117"	"EMISCFE1"	NA	"960061000006101"	"960061000006117"
"anxiety"	"** the treatment of anxiety disorders"	"972931000006117"	"TRIQQZZ49"	NA	"972931000006101"	"972931000006117"
"anxiety"	"purposeless/compulsive activity"	"981121000006116"	"EMISCPU3"	NA	"981121000006100"	"981121000006116"
"mixed"	"depression anxiety stress scales anxiety score"	"2549138014"	"388b"	"388b.00"	"416619008"	"2549138014"
