"medcodeid"	"term"	"smokstatus"	"status"
"460127014"	"pack years"	12	"smoker or ex-smoker"
"460828018"	"tobacco user"	1	"smoker or ex-smoker"
"461114016"	"counselling about tobacco use"	1	"smoker or ex-smoker"
"482771000000118"	"smoking cessation drug therapy"	12	"smoker or ex-smoker"
"482791000000119"	"nicotine replacement therapy using nicotine patch"	12	"smoker or ex-smoker"
"482811000000118"	"nicotine replacement therapy using nicotine gum"	12	"smoker or ex-smoker"
"482831000000114"	"nicotine replacement therapy using nicotine inhalator"	12	"smoker or ex-smoker"
"482851000000119"	"nicotine replacement therapy using nicotine lozenge"	12	"smoker or ex-smoker"
"482871000000111"	"other specified smoking cessation therapy"	12	"smoker or ex-smoker"
"489931000000114"	"smoking cessation therapy nos"	12	"smoker or ex-smoker"
"492511000000117"	"smoking cessation therapy"	12	"smoker or ex-smoker"
"498831000006118"	"attends stop smoking monitoring"	12	"smoker or ex-smoker"
"503483019"	"current smoker"	1	"smoker or ex-smoker"
"604961000006114"	"current smoker nos"	1	"smoker or ex-smoker"
"62881000000117"	"dna - did not attend smoking cessation clinic"	1	"smoker or ex-smoker"
"649821000006115"	"ex-cigar smoker"	2	"smoker or ex-smoker"
"649831000006117"	"ex-pipe smoker"	2	"smoker or ex-smoker"
"649841000006110"	"ex-smoker"	2	"smoker or ex-smoker"
"649851000006112"	"ex- rolled tobacco smoker"	2	"smoker or ex-smoker"
"649861000006114"	"ex-cigarette smoker"	2	"smoker or ex-smoker"
"67621000006112"	"very heavy cigarette smoker (40+ cigs/day)"	1	"smoker or ex-smoker"
"700121000006118"	"moderate cigarette smoker (10-19 cigs/day)"	1	"smoker or ex-smoker"
"72373013"	"passive smoker"	0	"non-smoker"
"736241000000116"	"smoking cessation enhanced services administration"	12	"smoker or ex-smoker"
"743331000006116"	"light cigarette smoker (1-9 cigs/day)"	1	"smoker or ex-smoker"
"78013015"	"smokers' cough"	1	"smoker or ex-smoker"
"818061000006111"	"smoking cessation education"	12	"smoker or ex-smoker"
"819331000006110"	"heavy cigarette smoker (20-39 cigs/day)"	1	"smoker or ex-smoker"
"852111000006118"	"gradual smoking reduction"	1	"smoker or ex-smoker"
"852121000006114"	"smoking cessation-maintain abstinence"	2	"smoker or ex-smoker"
"852131000006112"	"smoking cessation-practice nurse support"	1	"smoker or ex-smoker"
"852981000006111"	"rolls own cigarettes"	1	"smoker or ex-smoker"
"853001000006110"	"ex-smoker nos"	2	"smoker or ex-smoker"
"854021000006115"	"cigarette smoker"	1	"smoker or ex-smoker"
"854051000006112"	"ex-pipe smoker"	2	"smoker or ex-smoker"
"854071000006119"	"current smoker"	1	"smoker or ex-smoker"
"854111000006110"	"past smoker"	2	"smoker or ex-smoker"
"854151000006111"	"date stopped smoking"	2	"smoker or ex-smoker"
"854951000006113"	"grade a non-smoker"	0	"non-smoker"
"854961000006110"	"grade b light smoker (1-10/day)"	1	"smoker or ex-smoker"
"854981000006117"	"grade c moderate smoker (11-20/day)"	1	"smoker or ex-smoker"
"855001000006114"	"grade d heavy smoker (>20 day)"	1	"smoker or ex-smoker"
"88471000006112"	"trivial cigarette smoker (less than one cigarette/day)"	1	"smoker or ex-smoker"
"903041000006110"	"ex-smoker nos"	2	"smoker or ex-smoker"
"903051000006112"	"tobacco consumption nil"	0	"non-smoker"
"903981000006117"	"not interested in stopping smoking"	1	"smoker or ex-smoker"
"904001000006111"	"ready to stop smoking"	1	"smoker or ex-smoker"
"904021000006118"	"previous smoking quit attempts"	1	"smoker or ex-smoker"
"904031000006115"	"thinking about stopping smoking"	1	"smoker or ex-smoker"
"904041000006113"	"waking time to first cigarette"	1	"smoker or ex-smoker"
"904071000006117"	"smoking cessation 4 week follow up"	12	"smoker or ex-smoker"
"904081000006119"	"smoking cessation 52 week follow up"	12	"smoker or ex-smoker"
"904091000006116"	"date of last cigarette"	12	"smoker or ex-smoker"
